Name	Mean OutDegree	Time Taken (Total)	Variance InDegree	Time Taken (Tasks)	Vertex Coverage	Path for task 2	Diameter	Path for task 3	Edges Count	Center of Mass	Radius of Gyration	Mean InDegree	Distance Covered (Total)	Vertex Count	Variance OutDegree	Distance Covered (Tasks)
debraj2	3.018	1440800	11.053	182751	82	2Confuse	15	Path3	172	"-66.16,-120.11,0.74"	38.659	3.018	4144.889	57	11.053	630.375
muscat1	2.969	1156087	9.218	122487	94	2Confuse	18	Path3	193	"-70.05,-126.95,0.69"	35.276	2.969	4054.918	65	9.218	633.497
michael1	3.246	1430055	13.657	141450	94	2Confuse	17	lost	211	"-63.10,-125.90,0.78"	36.249	3.246	4992.777	65	13.657	606.669
divya1	3.953	2436750	20.363	184300	92	3Shortest	15	Path2	253	"-68.95,-123.48,0.89"	38.06	3.953	5095.014	64	20.363	586.698
gokul1	3.731	1867648	12.987	208806	97	2Confuse	14	Shortest	250	"-68.40,-128.96,0.75"	35.686	3.731	4938.677	67	12.987	795.083
mangalam1	3.254	1394451	11.495	241801	97	3Lost	18	Path3	218	"-67.74,-123.60,0.74"	36.791	3.254	4155.593	67	11.495	1126.16
priyanka1	3.046	1750145	8.92	280145	94	2Confuse	17	Path5	198	"-71.67,-128.07,0.72"	36.633	3.046	3537.563	65	8.92	1153.397
nasri2	3.77	1134299	15.48	255650	88	2Confuse	16	Path5	230	"-71.54,-127.25,0.88"	38.038	3.77	3659.947	61	15.48	1311.373
pranav1	3.618	2069652	13.822	305401	98	2Confuse	17	lost	246	"-69.19,-127.23,0.81"	36.16	3.618	5219.897	68	13.822	1117.468
nasri1	3.922	1476201	19.121	283006	92	2Confuse	17	Path5	251	"-71.72,-123.42,0.85"	37.962	3.922	4211.949	64	19.121	1422.464
radhika1	2.859	1664055	5.805	214951	92	2Confuse	15	Path3	183	"-71.51,-125.91,0.76"	35.949	2.859	3098.191	64	5.805	724.012
priyanka2	2.379	882546	4.661	133852	84	2Confuse	21	lost	138	"-67.22,-127.93,0.95"	35.018	2.379	2433.037	58	4.661	633.941
anoop1	3.227	1389508	10.486	180908	95	2Confuse	17	Path3	213	"-70.05,-128.90,0.85"	36.082	3.227	4594.884	66	10.486	666.148
pugalia1	3.623	1239551	12.172	209800	88	2Confuse	19	Path2	221	"-68.22,-126.77,0.87"	35.596	3.623	4568.967	61	12.172	986.089
aatish1	3.597	1808350	17.396	279500	97	2Confuse	16	lost	241	"-68.55,-124.83,0.80"	39.053	3.597	4162.268	67	17.396	944.255
hunan1	3.5	1716612	12	371250	92	3Lost	16	Path3	224	"-65.25,-129.82,0.91"	36.026	3.5	4573.836	64	12	1472.037
xiaosong1	3.75	1533439	12.444	313453	92	3Lost	15	lost	240	"-70.60,-127.59,0.90"	36.871	3.75	3734.458	64	12.444	1358.823
vaisagh3	1.556	273598	0.825	69799	52	3Shortest	25	Shortest	56	"-64.62,-122.95,0.79"	36.938	1.556	1017.26	36	0.825	422.756
prabal1	2.967	1287751	11.355	214503	86	2MoreConfuse	16	lost	178	"-65.78,-127.14,1.09"	35.481	2.967	3600.9	60	11.355	757.662
abhijith2	2.569	838949	7.218	192600	94	2Confuse	17	Path3	167	"-67.15,-126.67,0.81"	35.981	2.569	2659.191	65	7.218	1047.018
harish1	2.484	1420749	6.222	207354	92	2Confuse	19	Path2	159	"-67.26,-126.31,0.68"	35.497	2.484	3127.777	64	6.222	653.598
harish2	2.339	978151	4.628	139201	81	2MoreConfuse	16	Path2	131	"-68.19,-123.77,0.92"	35.715	2.339	2961.391	56	4.628	595.899
abhijith1	3.138	1583251	9.902	222800	94	2Lost	23	Path4	204	"-69.97,-123.99,0.72"	37.233	3.138	5160.411	65	9.902	850.763
harish3	2.107	664101	4.243	138505	81	2Confuse	19	lost	118	"-67.23,-123.69,0.75"	37.309	2.107	2247.301	56	4.243	639.912
abhijith3	2.696	630948	7.961	103550	81	2Confuse	18	Path3	151	"-68.27,-128.38,1.04"	33.568	2.696	2401.883	56	7.961	615.633
mike2	4.078	1383195	17.406	109894	92	2Perfect	15	Path3	261	"-69.18,-129.04,0.89"	34.883	4.078	4737.514	64	17.406	568.598
swaroop2	3.338	1246248	10.446	151550	94	2Confuse	16	Path3	217	"-69.85,-127.61,0.82"	37.554	3.338	4328.77	65	10.446	703.296
saghana1	3.905	1905949	13.959	276350	91	2Confuse	15	Path3	246	"-72.20,-127.19,0.80"	37.732	3.905	4596.458	63	13.959	1040.811
shantanu1	3.409	1458373	12.122	249648	95	2Lost	15	Path3	225	"-70.56,-122.98,0.82"	38.199	3.409	4333.83	66	12.122	1132.61
joben2	2.476	782996	5.931	95946	91	2Confuse	16	Path3	156	"-69.70,-126.29,0.76"	36.428	2.476	2873.699	63	5.931	525.355
aparna7	1.7	446641	1.19	92098	57	2Perfect	18	Shortest	68	"-65.19,-126.25,0.67"	37.477	1.7	1541.781	40	1.19	479.184
aparna8	1.553	355853	0.686	96200	55	2Perfect	26	Shortest	59	"-67.03,-122.91,0.77"	36.003	1.553	1287.267	38	0.686	496.484
aparna6	1.895	503652	1.772	90600	55	2Perfect	18	Shortest	72	"-67.09,-124.17,0.76"	36.908	1.895	1843.622	38	1.772	487.591
joben1	3.226	1301145	12.243	122650	89	2Confuse	16	Path3	200	"-69.19,-125.33,0.96"	37.666	3.226	4271.811	62	12.243	564.355
doyen1	4.132	2175349	24.475	272900	98	2Confuse	17	Path5	281	"-63.52,-129.81,1.02"	35.629	4.132	6977.592	68	24.475	1089.539
doyen2	3.672	1651599	16.624	302050	88	3Lost	19	Path5	224	"-68.43,-129.45,1.03"	34.802	3.672	4622.314	61	16.624	1380.551
kimisha1	2.955	2167451	9.89	286700	95	2Confuse	17	lost	195	"-69.76,-124.16,0.97"	35.854	2.955	3903.919	66	9.89	824.669
